file_name,file_size_bytes,sha256,encoding,has_header,column_count,total_rows,missing_count,zero_count,negative_count,folder_year,relative_path
24년9월 시간대별 데이터.csv,126651788,55bcda85aa7ee3774c0640316f34bbefbe2825889b7dc0cde062a221790d89f6,cp949,True,5,2238580,0,620878,0,2024_시간대별_데이터,2024_시간대별_데이터\24년9월 시간대별 데이터.csv
25년10월 시간대별 데이터.csv,48796475,25890b16479c33b55a4fbb49f12b6d3e5e1db710894938f55d025bc719666e58,cp949,True,5,1048575,0,146253,0,2025_시간대별_데이터,2025_시간대별_데이터\25년10월 시간대별 데이터.csv
25년11월 시간대별 데이터.csv,48779938,976fc08e03c934d1b393523b13ef1f35379c05abc73edef141635e0913a48ab4,cp949,True,5,1048575,0,147718,0,2025_시간대별_데이터,2025_시간대별_데이터\25년11월 시간대별 데이터.csv
25년12월 시간대별 데이터.csv,48795351,e3db5c1541b3656a6e068cf0bc5e51f03911af00fcdd78a51f91f1dc2e4ee053,cp949,True,5,1048575,0,138465,0,2025_시간대별_데이터,2025_시간대별_데이터\25년12월 시간대별 데이터.csv
25년1월 시간대별 데이터.csv,48724804,faa7bfc258dbbddf8e7dc42e91380c76d2e332a662a7d40748c7440cd81ddd2e,cp949,True,5,1048575,0,149010,0,2025_시간대별_데이터,2025_시간대별_데이터\25년1월 시간대별 데이터.csv
25년2월 시간대별 데이터.csv,48726069,bf0b13798da3b700db617d01c5a9dee303100a5fa25a61f2155e8e9bf3e2384b,cp949,True,5,1048575,0,146222,0,2025_시간대별_데이터,2025_시간대별_데이터\25년2월 시간대별 데이터.csv
25년3월 시간대별 데이터.csv,48749405,c721204ce513fcc6bbe4a7db40edab14cc7fe8c231e3bc3df35bded8734c4eb1,cp949,True,5,1048575,0,157758,0,2025_시간대별_데이터,2025_시간대별_데이터\25년3월 시간대별 데이터.csv
25년4월 시간대별 데이터.csv,48798069,7f9c3b7951ecf1705fa90431eeb552439f90ef62a80b439710b7d758836fad8a,cp949,True,5,1048575,0,146111,0,2025_시간대별_데이터,2025_시간대별_데이터\25년4월 시간대별 데이터.csv
25년5월 시간대별 데이터.csv,48786056,d595448552262864c1e5dd91b403170154d83faebdca81725c5fa932b4003e7b,cp949,True,5,1048575,0,158017,0,2025_시간대별_데이터,2025_시간대별_데이터\25년5월 시간대별 데이터.csv
25년6월 시간대별 데이터.csv,48760955,a4045d5a1546f922386dcfae45b981a540a6473987ce3ae0ce4bcb1aa7682664,cp949,True,5,1048575,0,174291,0,2025_시간대별_데이터,2025_시간대별_데이터\25년6월 시간대별 데이터.csv
25년7월 시간대별 데이터.csv,48787071,4c6f234833ba44c29846e39b28504d3557b6b5d8fbf96da94f3f33f3679b80a7,cp949,True,5,1048575,0,162620,0,2025_시간대별_데이터,2025_시간대별_데이터\25년7월 시간대별 데이터.csv
25년8월 시간대별 데이터.csv,48782978,52bd6b2178cc6c81dbf8a50a27f4365a9ea55b09f1b8933c79894c5953d8b491,cp949,True,5,1048575,0,168266,0,2025_시간대별_데이터,2025_시간대별_데이터\25년8월 시간대별 데이터.csv
25년9월 시간대별 데이터.csv,48765852,e24ab251fa493fc8a0fe1d1dfa7d342fcd856fed0ce1d3495cf33c1f7793d952,cp949,True,5,1048575,0,176753,0,2025_시간대별_데이터,2025_시간대별_데이터\25년9월 시간대별 데이터.csv
