year,file,encoding,has_header,source_columns,canonical_column_count
2022,2022\Q1\data_2201.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q1\data_2202.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q1\data_2203.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q2\data_2204.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q2\data_2205.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q2\data_2206.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q3\data_2207.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q3\data_2208.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q3\data_2209.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q4\22.10.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q4\22.11.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2022,2022\Q4\22.12.csv,cp949,true,일시|대여소번호|대여소명|시간대|거치대수량,5
2023,2023\Q1\data_230101~230115.csv,cp949,false,,5
2023,2023\Q1\data_230116~230131.csv,cp949,false,,5
2023,2023\Q1\data_230201~230215.csv,cp949,false,,5
2023,2023\Q1\data_230216~230228.csv,cp949,false,,5
2023,2023\Q1\data_230301~230315.csv,cp949,false,,5
2023,2023\Q1\data_230316~230331.csv,cp949,false,,5
2023,2023\Q2\data_230401~230415.csv,cp949,false,,5
2023,2023\Q2\data_230416~230430.csv,cp949,false,,5
2023,2023\Q2\data_230501~230515.csv,cp949,false,,5
2023,2023\Q2\data_230516~230531.csv,cp949,false,,5
2023,2023\Q2\data_230601~230615.csv,cp949,false,,5
2023,2023\Q2\data_230616~230630.csv,cp949,false,,5
2023,2023\Q3\data_230701~230715.csv,cp949,false,,5
2023,2023\Q3\data_230716~230731.csv,cp949,false,,5
2023,2023\Q3\data_230801~230815.csv,cp949,false,,5
2023,2023\Q3\data_230816~230831.csv,cp949,false,,5
2023,2023\Q3\data_230901~230915.csv,cp949,false,,5
2023,2023\Q3\data_230916~230930.csv,cp949,false,,5
2023,2023\Q4\data_231001~231015.csv,cp949,false,,5
2023,2023\Q4\data_231016~231031.csv,cp949,false,,5
2023,2023\Q4\data_231101~231115.csv,cp949,false,,5
2023,2023\Q4\data_231116~231130.csv,cp949,false,,5
2023,2023\Q4\data_231201~231215.csv,cp949,false,,5
2023,2023\Q4\data_231216~231231.csv,cp949,false,,5
